name,smiles string
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
IDT,CC3(C)c1cc4c(cc1c2sccc23)C(C)(C)c5ccsc45
PDI,CC(C)n1c(=O)c2ccc3c5ccc6c(=O)[nH]c(=O)c7ccc(c4ccc(c1=O)c2c34)c5c67
